"option_id","question_id","option_letter","option_text","score","is_image","image_url"
"1","1","a","Untuk menghindari polusi","0","0",NULL
"2","1","b","Untuk meringankan beban sang master","0","0",NULL
"3","1","c","Untuk memberi tahu pihak berwenang","0","0",NULL
"4","1","d","Untuk membatasi polusi","0","0",NULL
"5","2","a","Energi eksternal dan internal.","0","0",NULL
"6","2","b","Energi internal","0","0",NULL
"7","2","c","Energi laten.","0","0",NULL
"8","2","d","Energi eksternal","0","0",NULL
"9","3","a","390,2 juta ton","0","0",NULL
"10","3","b","343,2 juta ton","0","0",NULL
"11","3","c","377,6 Mt.","0","0",NULL
"12","3","d","326,6 juta ton","0","0",NULL
"13","4","a","Gambar 1.","0","0",NULL
"14","4","b","Gambar 2","0","0",NULL
"15","4","c","Gambar 3.","0","0",NULL
"16","4","d","Gambar 4.","0","0",NULL
"17","5","a","Zona vertikal adalah zona kebakaran yang dapat dipisahkan satu sama lain dengan pintu tahan api. Jika terjadi kebakaran, semua pintu tahan api di depan dan belakang api akan ditutup untuk mencegah penyebaran asap/api.","0","0",NULL
"18","5","b","Zona vertikal dipisahkan dengan pintu tahan api yang akan tertutup secara otomatis saat alarm kebakaran berbunyi.","0","0",NULL
"19","5","c","Semua zona vertikal dipisahkan dengan pintu kedap air, yang akan ditutup jika terjadi korsleting, dll.","0","0",NULL
"20","5","d","Ada satu tim pemadam kebakaran di setiap zona.","0","0",NULL
"21","6","a","Larutan Kalium Hidroksida","0","0",NULL
"22","6","b","Larutan Natrium Klorat.","0","0",NULL
"23","6","c","Larutan Natrium Hidroksida.","0","0",NULL
"24","6","d","Larutan Natrium Hipoklorit","0","0",NULL
"25","7","a","Penggunaan alat pelempar tali kapal.","0","0",NULL
"26","7","b","Penggunaan rute pelarian dan metode pelarian lainnya","0","0",NULL
"27","7","c","Penggunaan sinyal visual permukaan ke udara untuk digunakan oleh para penyintas","0","0",NULL
"28","7","d","Penggunaan peralatan navigasi untuk kapal penyelamat","0","0",NULL
"29","8","a","5 tahun","0","0",NULL
"30","8","b","2 1/2 tahun.","0","0",NULL
"31","8","c","2 tahun","0","0",NULL
"32","8","d","Setiap tahun.","0","0",NULL
"33","9","a","Sebaiknya berwarna terang.","0","0",NULL
"34","9","b","Sebaiknya warna merah muda","0","0",NULL
"35","9","c","Sebaiknya warna gelap","0","0",NULL
"36","9","d","Tidak ada persyaratan","0","0",NULL
"37","10","a","L(S) = 4 H.","0","0",NULL
"38","10","b","L(S) = 0,667 H.","0","0",NULL
"39","10","c","L(S) = 1,5 H","0","0",NULL
"40","10","d","L(S) = 18 H.","0","0",NULL
"41","11","a","Setiap 4 tahun.","0","0",NULL
